% Summer nighttime summer neutral atmosphere density at HAARP location
% ---------------------------------------------------------------------------
% Created on 2006-06-13
% MSIS-E-90 Atmosphere Model
% http://modelweb.gsfc.nasa.gov/models/msis.html
% LOCAL TIME IS USED
% ---------------------------------------------------------------------------
% ModelWeb Browser Results
% msis model listing
% Intut parameters
% year= 2000, month= 07, day= 01, hour=2.,
% latitude= 62.39, longitude= 214.85, height= 100.
% Prof. parameters: start= 0. stop= 200. step= 1.
%
% F10.7(daily) used: 165.0
% F10.7(3-month avg) used: 195.7
% ap(daily,0-3,3-6,6-9,9-12,12-33,33-59 h prior) used:
%     6.9     5.0   9.0   4.0   9.0   4.4   7.8
% ---------------------------------------------------------------------------
%                    NUMBER DENSITIES                 TEMPERATURE
%   H/KM     He/cm-3    Ar/cm-3    H/cm-3     N/cm-3     Tn/K
   277.0   1.135E+06  2.860E+05  3.602E+04  1.004E+07  1166.1
   278.0   1.130E+06  2.755E+05  3.597E+04  9.896E+06  1166.6
   279.0   1.126E+06  2.653E+05  3.592E+04  9.754E+06  1167.0
   280.0   1.121E+06  2.556E+05  3.587E+04  9.614E+06  1167.4
   281.0   1.117E+06  2.462E+05  3.582E+04  9.475E+06  1167.8
   282.0   1.112E+06  2.371E+05  3.577E+04  9.339E+06  1168.2
   283.0   1.108E+06  2.284E+05  3.572E+04  9.205E+06  1168.5
   284.0   1.104E+06  2.200E+05  3.567E+04  9.072E+06  1168.9
   285.0   1.100E+06  2.120E+05  3.563E+04  8.942E+06  1169.3
   286.0   1.095E+06  2.042E+05  3.558E+04  8.813E+06  1169.6
   287.0   1.091E+06  1.967E+05  3.553E+04  8.687E+06  1170.0
   288.0   1.087E+06  1.895E+05  3.549E+04  8.562E+06  1170.3
   289.0   1.083E+06  1.826E+05  3.544E+04  8.439E+06  1170.6
   290.0   1.078E+06  1.760E+05  3.540E+04  8.318E+06  1171.0
   291.0   1.074E+06  1.695E+05  3.535E+04  8.199E+06  1171.3
   292.0   1.070E+06  1.633E+05  3.531E+04  8.082E+06  1171.6
   293.0   1.066E+06  1.574E+05  3.526E+04  7.966E+06  1171.9
   294.0   1.062E+06  1.517E+05  3.522E+04  7.853E+06  1172.2
   295.0   1.058E+06  1.461E+05  3.518E+04  7.740E+06  1172.5
   296.0   1.054E+06  1.408E+05  3.514E+04  7.630E+06  1172.7
   297.0   1.050E+06  1.357E+05  3.509E+04  7.521E+06  1173.0
   298.0   1.046E+06  1.308E+05  3.505E+04  7.414E+06  1173.3
   299.0   1.042E+06  1.260E+05  3.501E+04  7.309E+06  1173.5
   300.0   1.038E+06  1.215E+05  3.498E+04  7.220E+06  1173.8
   305.0   1.019E+06  1.010E+05  3.478E+04  6.722E+06  1175.0
   310.0   9.995E+05  8.406E+04  3.458E+04  6.261E+06  1176.0
   315.0   9.810E+05  6.999E+04  3.440E+04  5.834E+06  1176.9
   320.0   9.629E+05  5.830E+04  3.422E+04  5.439E+06  1177.8
   325.0   9.452E+05  4.858E+04  3.401E+04  5.073E+06  1178.5
   330.0   9.279E+05  4.050E+04  3.384E+04  4.733E+06  1179.2
   335.0   9.110E+05  3.378E+04  3.368E+04  4.419E+06  1179.7
   340.0   8.945E+05  2.819E+04  3.352E+04  4.127E+06  1180.3
   345.0   8.783E+05  2.353E+04  3.336E+04  3.856E+06  1180.7
   350.0   8.624E+05  1.965E+04  3.320E+04  3.605E+06  1181.1
   355.0   8.469E+05  1.642E+04  3.305E+04  3.371E+06  1181.5
   360.0   8.318E+05  1.372E+04  3.290E+04  3.154E+06  1181.8
   365.0   8.169E+05  1.147E+04  3.274E+04  2.952E+06  1182.1
   370.0   8.023E+05  9.590E+03  3.259E+04  2.764E+06  1182.4
   375.0   7.880E+05  8.022E+03  3.244E+04  2.588E+06  1182.6
   380.0   7.741E+05  6.713E+03  3.230E+04  2.425E+06  1182.8
   385.0   7.604E+05  5.619E+03  3.215E+04  2.273E+06  1183.0
   390.0   7.469E+05  4.705E+03  3.201E+04  2.131E+06  1183.1
   395.0   7.338E+05  3.940E+03  3.186E+04  1.998E+06  1183.3
   400.0   7.208E+05  3.301E+03  3.172E+04  1.874E+06  1183.4
   405.0   7.082E+05  2.767E+03  3.158E+04  1.758E+06  1183.5
   410.0   6.958E+05  2.319E+03  3.144E+04  1.650E+06  1183.6
   415.0   6.836E+05  1.945E+03  3.130E+04  1.549E+06  1183.7
   420.0   6.717E+05  1.631E+03  3.116E+04  1.454E+06  1183.8
   425.0   6.599E+05  1.368E+03  3.102E+04  1.366E+06  1183.9
   430.0   6.485E+05  1.148E+03  3.089E+04  1.283E+06  1183.9
   435.0   6.372E+05  9.640E+02  3.075E+04  1.205E+06  1184.0
