% Input parameters
% year= 2007., month= 11, day= 12, hour=8.5,
% latitude= 20., longitude= 202., height= 100.
% Prof. parameters: start= 60. stop= 150. step= 1.
%   H   ELECTRON DENSITY   TEMPERATURES         ION PERCENTAGES/%     1E16m-2
%   km  Ne/cm-3 Ne/NmF2 Tn/K  Ti/K  Te/K  O+  N+  H+ He+ O2+ NO+ Clust TEC t/%
 890.0   29551  0.185   701   741  1014  10   0  83   8   0   0   0  -1.0  -1
 895.0   29494  0.184   701   741  1015   9   0  83   8   0   0   0  -1.0  -1
 900.0   29438  0.184   701   741  1017   9   0  83   8   0   0   0  -1.0  -1
 905.0   29385  0.184   701   742  1019   9   0  83   8   0   0   0  -1.0  -1
 910.0   29334  0.183   701   742  1020   9   0  83   8   0   0   0  -1.0  -1
 915.0   29285  0.183   701   742  1022   9   0  84   8   0   0   0  -1.0  -1
 920.0   29238  0.183   701   742  1024   8   0  84   8   0   0   0  -1.0  -1
 925.0   29194  0.182   701   742  1025   8   0  84   8   0   0   0  -1.0  -1
 930.0   29151  0.182   701   742  1027   8   0  84   8   0   0   0  -1.0  -1
 935.0   29109  0.182   701   743  1029   8   0  84   8   0   0   0  -1.0  -1
 940.0   29070  0.182   701   743  1030   8   0  84   8   0   0   0  -1.0  -1
 945.0   29032  0.181   701   743  1032   7   0  85   8   0   0   0  -1.0  -1
 950.0   28996  0.181   701   743  1034   7   0  85   8   0   0   0  -1.0  -1
 955.0   28961  0.181   701   743  1036   7   0  85   8   0   0   0  -1.0  -1
 960.0   28928  0.181   701   743  1037   7   0  85   8   0   0   0  -1.0  -1
 965.0   28896  0.180   701   743  1039   7   0  85   8   0   0   0  -1.0  -1
 970.0   28865  0.180   701   744  1041   6   0  85   8   0   0   0  -1.0  -1
 975.0   28836  0.180   701   744  1042   6   0  86   8   0   0   0  -1.0  -1
 980.0   28807  0.180   701   744  1044   6   0  86   8   0   0   0  -1.0  -1
 985.0   28780  0.180   701   744  1046   6   0  86   8   0   0   0  -1.0  -1
 990.0   28755  0.180   701   744  1047   6   0  86   8   0   0   0  -1.0  -1
 995.0   28730  0.179   701   744  1049   6   0  86   8   0   0   0  -1.0  -1
1000.0   28706  0.179   701   744  1051   6   0  86   8   0   0   0  -1.0  -1
